safe,dsid,kind_hint,indp_policy,priority,already_have,notes
tensile_modulus_in_first_principal_direction_fib,11910,scalar,last,high,0,full_catalog;ELDT;Tensile modulus in first principal direc
tensile_modulus_in_second_principal_direction_fi,11912,scalar,last,high,0,full_catalog;ELDT;Tensile modulus in second principal dire
tensile_modulus_in_third_principal_direction_fib,11914,scalar,last,high,0,full_catalog;ELDT;Tensile modulus in third principal direc
poisson_s_ratio_v12_fiber_overmolding,11920,scalar,last,high,0,full_catalog;ELDT;Poisson's ratio (v12) (fiber) (overmoldi
fiber_orientation_tensor_overmolding,11921,tensor,last,high,0,full_catalog;NDDT;Fiber orientation tensor (overmolding)
poisson_s_ratio_v23_fiber_overmolding,11922,scalar,last,high,0,full_catalog;ELDT;Poisson's ratio (v23) (fiber) (overmoldi
poisson_s_ratio_v13_fiber_overmolding,11924,scalar,last,high,0,full_catalog;ELDT;Poisson's ratio (v13) (fiber) (overmoldi
shear_modulus_g12_fiber_overmolding,11930,scalar,fill,high,0,full_catalog;ELDT;Shear modulus (G12) (fiber) (overmolding
shear_modulus_g23_fiber_overmolding,11932,scalar,fill,high,0,full_catalog;ELDT;Shear modulus (G23) (fiber) (overmolding
shear_modulus_g13_fiber_overmolding,11934,scalar,fill,high,0,full_catalog;ELDT;Shear modulus (G13) (fiber) (overmolding
linear_thermal_expansion_coefficient_in_first_pr,11940,scalar,last,high,0,full_catalog;ELDT;Linear thermal expansion coefficient in 
linear_thermal_expansion_coefficient_in_second_p,11942,scalar,last,high,0,full_catalog;ELDT;Linear thermal expansion coefficient in 
linear_thermal_expansion_coefficient_in_third_pr,11944,scalar,last,high,0,full_catalog;ELDT;Linear thermal expansion coefficient in 
fiber_orientation_tensor_eigenvector_overmolding,11945,tensor,last,high,0,full_catalog;ELDT;Fiber orientation tensor eigenvector (ov
fiber_orientation_tensor_on_elements_overmolding,11946,tensor,last,high,0,full_catalog;ELDT;Fiber orientation tensor on elements (ov
stress_3d_overmolding_for_warp_analysis,11947,scalar,last,high,0,full_catalog;NDDT;Stress (3D overmolding) for warp analysi
shear_modulus_g12_overmolding,13030,scalar,fill,high,0,full_catalog;ELDT;Shear modulus (G12) (overmolding)
shear_modulus_g23_overmolding,13032,scalar,fill,high,0,full_catalog;ELDT;Shear modulus (G23) (overmolding)
shear_modulus_g13_overmolding,13034,scalar,fill,high,0,full_catalog;ELDT;Shear modulus (G13) (overmolding)
angle_of_first_principal_stress_in_elemental_coo,13052,scalar,last,high,0,full_catalog;ELDT;Angle of first principal stress in eleme
in_cavity_residual_stress_in_first_principal_dir,13060,scalar,last,high,0,full_catalog;ELDT;In-cavity residual stress in first princ
in_cavity_residual_stress_in_second_principal_di,13062,scalar,last,high,0,full_catalog;ELDT;In-cavity residual stress in second prin
temperature_difference_from_mold_walls_overmoldi,13064,scalar,fill,high,0,full_catalog;ELDT;Temperature difference from mold walls (
average_temperature_from_mold_walls_overmolding,13065,scalar,fill,high,0,full_catalog;ELDT;Average temperature from mold walls (ove
parallel_shrinkage_overmolding,13080,scalar,last,high,0,full_catalog;ELDT;Parallel shrinkage (overmolding)
perpendicular_shrinkage_overmolding,13085,scalar,last,high,0,full_catalog;ELDT;Perpendicular shrinkage (overmolding)
orientation_effect_overmolding,13095,tensor,last,high,0,full_catalog;ELDT;Orientation effect (overmolding)
initial_stress_tensor_3d_overmolding,13150,tensor,last,high,0,full_catalog;ELDT;Initial stress tensor (3D overmolding)
